Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,incident_day_of_week,incident_month
AIMOTIVE INC.,AVT036,2021-05-19 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,May
AIMOTIVE INC.,AVT036,2021-05-20 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,May
AIMOTIVE INC.,AVT036,2021-05-24 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,May
AIMOTIVE INC.,AVT036,2021-06-02 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,June
AIMOTIVE INC.,AVT036,2021-06-03 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,June
AIMOTIVE INC.,AVT036,2021-06-03 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,June
AIMOTIVE INC.,AVT036,2021-06-03 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,June
AIMOTIVE INC.,AVT036,2021-06-04 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,June
AIMOTIVE INC.,AVT036,2021-06-08 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,June
AIMOTIVE INC.,AVT036,2021-06-11 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,June
AIMOTIVE INC.,AVT036,2021-06-11 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,June
AIMOTIVE INC.,AVT036,2021-06-23 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,June
AIMOTIVE INC.,AVT036,2021-06-24 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,June
AIMOTIVE INC.,AVT036,2021-06-25 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,June
AIMOTIVE INC.,AVT036,2021-06-25 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,June
AIMOTIVE INC.,AVT036,2021-06-25 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,June
AIMOTIVE INC.,AVT036,2021-06-28 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,June
AIMOTIVE INC.,AVT036,2021-06-29 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,June
AIMOTIVE INC.,AVT036,2021-06-30 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,June
AIMOTIVE INC.,AVT036,2021-07-01 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,July
AIMOTIVE INC.,AVT036,2021-07-06 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,July
AIMOTIVE INC.,AVT036,2021-10-13 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,October
AIMOTIVE INC.,AVT036,2021-10-15 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,October
AIMOTIVE INC.,AVT036,2021-10-15 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,October
AIMOTIVE INC.,AVT036,2021-10-18 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,October
AIMOTIVE INC.,AVT036,2021-10-18 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,October
AIMOTIVE INC.,AVT036,2021-10-18 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,October
AIMOTIVE INC.,AVT036,2021-10-18 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,October
AIMOTIVE INC.,AVT036,2021-11-16 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-16 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-17 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,November
AIMOTIVE INC.,AVT036,2021-11-17 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,November
AIMOTIVE INC.,AVT036,2021-11-18 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,November
AIMOTIVE INC.,AVT036,2021-11-18 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,November
AIMOTIVE INC.,AVT036,2021-11-18 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,November
AIMOTIVE INC.,AVT036,2021-11-18 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,November
AIMOTIVE INC.,AVT036,2021-11-19 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,November
AIMOTIVE INC.,AVT036,2021-11-19 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,November
AIMOTIVE INC.,AVT036,2021-11-19 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,November
AIMOTIVE INC.,AVT036,2021-11-19 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,November
AIMOTIVE INC.,AVT036,2021-11-22 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,November
AIMOTIVE INC.,AVT036,2021-11-22 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,November
AIMOTIVE INC.,AVT036,2021-11-22 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,November
AIMOTIVE INC.,AVT036,2021-11-22 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,November
AIMOTIVE INC.,AVT036,2021-11-23 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-23 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-23 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-23 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-23 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-23 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-24 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,November
AIMOTIVE INC.,AVT036,2021-11-24 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,November
AIMOTIVE INC.,AVT036,2021-11-24 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,November
AIMOTIVE INC.,AVT036,2021-11-24 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,November
AIMOTIVE INC.,AVT036,2021-11-24 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,November
AIMOTIVE INC.,AVT036,2021-11-24 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,November
AIMOTIVE INC.,AVT036,2021-11-29 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,November
AIMOTIVE INC.,AVT036,2021-11-29 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,November
AIMOTIVE INC.,AVT036,2021-11-30 00:00:00,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-30 00:00:00,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-30 00:00:00,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-11-30 00:00:00,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,November
AIMOTIVE INC.,AVT036,2021-12-06 00:00:00,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,December
AIMOTIVE INC.,AVT036,2021-12-06 00:00:00,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,December
AIMOTIVE INC.,AVT036,2021-12-06 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,December
AIMOTIVE INC.,AVT036,2021-12-06 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,December
AIMOTIVE INC.,AVT036,2021-12-06 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,December
AIMOTIVE INC.,AVT036,2021-12-07 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,December
AIMOTIVE INC.,AVT036,2021-12-08 00:00:00,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,December
