Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,incident_day_of_week,incident_month
AIMOTIVE INC.,AVT036,2021-12-15 10:46:02,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,December
AIMOTIVE INC.,AVT036,2021-12-16 11:41:11,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Thursday,December
AIMOTIVE INC.,AVT036,2022-01-10 14:22:18,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Another vehicle approaching target lane when the test vehicle inititated a lane change. Limitation in software. This was a case of two vehicles trying to occupy the same space in a lane. Our software has a limitation in that we do not (yet) cancel lane changes once it has been initiated; however, we do cancel lane changes if the software deems it unsafe prior to the actual maneuver. In this case we had already started the maneuver, therefore the driver had to take over. This isnt a software bug, its a known issue that is being worked on. Conditions: Non-inclement weather, dry roads, no other factors involved.",Monday,January
AIMOTIVE INC.,AVT036,2022-01-21 13:37:13,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,January
AIMOTIVE INC.,AVT036,2022-01-21 13:57:54,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,January
AIMOTIVE INC.,AVT036,2022-01-21 14:23:04,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,January
AIMOTIVE INC.,AVT036,2022-01-27 11:14:03,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Thursday,January
AIMOTIVE INC.,AVT036,2022-01-27 11:44:53,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Thursday,January
AIMOTIVE INC.,AVT036,2022-01-28 11:07:27,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Friday,January
AIMOTIVE INC.,AVT036,2022-01-28 11:37:10,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,January
AIMOTIVE INC.,AVT036,2022-01-31 10:27:59,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Monday,January
AIMOTIVE INC.,AVT036,2022-01-31 10:43:17,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Monday,January
AIMOTIVE INC.,AVT036,2022-01-31 10:47:05,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Monday,January
AIMOTIVE INC.,AVT036,2022-02-01 10:32:48,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-01 10:40:55,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-01 10:45:19,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The SW couldnt perform the manuever safely eg.: possible lane departure, too aggressive lane change manuever. Root cause: lane detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-01 11:06:00,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-01 11:06:39,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-01 11:50:07,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-01 11:51:23,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-03 11:29:58,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Lane departure or oscillation in exit/merge lane. The test vehicle did not keep the exit/merge lane properly. Root cause: bad lane detection in exit/merge lane. Conditions: Non-inclement weather, dry roads, no other factors involved.",Thursday,February
AIMOTIVE INC.,AVT036,2022-02-08 10:22:29,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-08 11:28:14,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-09 10:19:32,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-09 10:41:35,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-10 10:49:56,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,February
AIMOTIVE INC.,AVT036,2022-02-10 10:50:39,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Thursday,February
AIMOTIVE INC.,AVT036,2022-02-11 11:09:39,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Another vehicle approaching target lane when the test vehicle inititated a lane change. Limitation in software. This was a case of two vehicles trying to occupy the same space in a lane. Our software has a limitation in that we do not (yet) cancel lane changes once it has been initiated; however, we do cancel lane changes if the software deems it unsafe prior to the actual maneuver. In this case we had already started the maneuver, therefore the driver had to take over. This isnt a software bug, its a known issue that is being worked on. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,February
AIMOTIVE INC.,AVT036,2022-02-14 13:58:50,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,February
AIMOTIVE INC.,AVT036,2022-02-15 14:13:07,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-15 14:14:29,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Attempting to lane change into a lane with stopped/slow traffic, and test vehicle was not slowing down enough. Root cause: limited control actuation, detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-17 10:48:57,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Thursday,February
AIMOTIVE INC.,AVT036,2022-02-17 13:43:22,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Thursday,February
AIMOTIVE INC.,AVT036,2022-02-17 14:07:25,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Thursday,February
AIMOTIVE INC.,AVT036,2022-02-22 11:01:27,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-22 11:07:00,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-22 11:08:55,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-22 13:28:38,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-22 13:50:30,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-22 14:11:17,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-22 14:16:57,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,February
AIMOTIVE INC.,AVT036,2022-02-23 10:45:40,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-23 10:53:13,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Another vehicle approaching target lane when the test vehicle inititated a lane change. Limitation in software. This was a case of two vehicles trying to occupy the same space in a lane. Our software has a limitation in that we do not (yet) cancel lane changes once it has been initiated; however, we do cancel lane changes if the software deems it unsafe prior to the actual maneuver. In this case we had already started the maneuver, therefore the driver had to take over. This isnt a software bug, its a known issue that is being worked on. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-23 11:11:54,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The SW couldnt perform the manuever safely eg.: possible lane departure, too aggressive lane change manuever. Root cause: lane detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-23 13:04:26,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-23 13:18:32,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-23 13:46:20,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-23 13:46:55,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-23 13:50:31,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-23 13:50:51,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,February
AIMOTIVE INC.,AVT036,2022-02-24 10:49:32,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Thursday,February
AIMOTIVE INC.,AVT036,2022-02-25 11:24:55,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,February
AIMOTIVE INC.,AVT036,2022-02-25 14:17:33,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During a lane change a faster car approached in the target lane. Did not let the test vehicle pass. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,February
AIMOTIVE INC.,AVT036,2022-02-25 14:27:58,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During a lane change a faster car approached in the target lane. Did not let the test vehicle pass. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,February
AIMOTIVE INC.,AVT036,2022-02-25 14:28:33,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During a lane change a faster car approached in the target lane. Did not let the test vehicle pass. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,February
AIMOTIVE INC.,AVT036,2022-02-25 14:28:46,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During a lane change a faster car approached in the target lane. Did not let the test vehicle pass. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,February
AIMOTIVE INC.,AVT036,2022-02-25 14:31:27,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,February
AIMOTIVE INC.,AVT036,2022-03-02 11:44:36,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Lane departure or oscillation in exit/merge lane. The test vehicle did not keep the exit/merge lane properly. Root cause: bad lane detection in exit/merge lane. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,March
AIMOTIVE INC.,AVT036,2022-03-04 11:15:15,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,March
AIMOTIVE INC.,AVT036,2022-03-04 11:31:27,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Lane departure or oscillation in exit/merge lane. The test vehicle did not keep the exit/merge lane properly. Root cause: bad lane detection in exit/merge lane. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,March
AIMOTIVE INC.,AVT036,2022-03-04 14:21:07,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,March
AIMOTIVE INC.,AVT036,2022-03-04 14:37:05,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,March
AIMOTIVE INC.,AVT036,2022-03-07 13:48:18,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Monday,March
AIMOTIVE INC.,AVT036,2022-03-07 14:21:24,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Monday,March
AIMOTIVE INC.,AVT036,2022-03-07 14:26:38,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Monday,March
AIMOTIVE INC.,AVT036,2022-03-08 11:45:24,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-08 11:51:08,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Lane departure or oscillation in exit/merge lane. The test vehicle did not keep the exit/merge lane properly. Root cause: bad lane detection in exit/merge lane. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-08 12:04:10,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-08 15:07:32,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Lane departure or oscillation in exit/merge lane. The test vehicle did not keep the exit/merge lane properly. Root cause: bad lane detection in exit/merge lane. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-08 15:38:03,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-08 15:43:21,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-09 15:48:47,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,March
AIMOTIVE INC.,AVT036,2022-03-09 15:49:30,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,March
AIMOTIVE INC.,AVT036,2022-03-09 15:49:54,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,March
AIMOTIVE INC.,AVT036,2022-03-10 13:45:48,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During a lane change a faster car approached in the target lane. Did not let the test vehicle pass. Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,March
AIMOTIVE INC.,AVT036,2022-03-11 10:43:43,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",Friday,March
AIMOTIVE INC.,AVT036,2022-03-11 13:51:20,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Friday,March
AIMOTIVE INC.,AVT036,2022-03-14 10:32:01,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Monday,March
AIMOTIVE INC.,AVT036,2022-03-14 10:36:19,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.,Monday,March
AIMOTIVE INC.,AVT036,2022-03-14 10:36:48,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Monday,March
AIMOTIVE INC.,AVT036,2022-03-14 10:41:14,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Monday,March
AIMOTIVE INC.,AVT036,2022-03-14 10:47:11,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During a lane change a faster car approached in the target lane. Did not let the test vehicle pass. Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,March
AIMOTIVE INC.,AVT036,2022-03-14 14:19:46,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Monday,March
AIMOTIVE INC.,AVT036,2022-03-14 14:40:31,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Monday,March
AIMOTIVE INC.,AVT036,2022-03-15 11:06:39,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-15 13:08:09,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-15 13:28:09,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,March
AIMOTIVE INC.,AVT036,2022-03-16 11:20:39,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",Wednesday,March
