disengagement_description,count
Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.,35
"Safety Driver disengaged autonomous mode due to issue with lane change maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",33
"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",32
"Safety Driver disengaged autonomous mode to ensure no stopping at traffic light or stop line. Root cause: inaccurate traffic light or stop line detection. Conditions: Non-inclement weather, dry roads, no other factors involved.",32
Planning behavior provider module state error.,31
Test driver decided to take over driving task to give another road user priority.,31
An issue with planner component caused the system to disengage. The system asked the operator to take control of the vehicle.,31
"Safety Driver disengaged autonomous mode due to issue with the SW unable to perform the lane change manuever safely. Root cause: lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",31
Hardware diagnostic detected hardware health issue,30
Inaccurate lane-keeping due to inaccurate path planning,30
Safety Driver disengaged autonomous mode due to cut-in issue.,28
Driver disengagement due to planning discrepancy in yielding to merging vehicle,28
Disengage for a recklessly behaving road user,28
"Another vehicle approaching target lane when the test vehicle inititated a lane change. Limitation in software. This was a case of two vehicles trying to occupy the same space in a lane. Our software has a limitation in that we do not (yet) cancel lane changes once it has been initiated; however, we do cancel lane changes if the software deems it unsafe prior to the actual maneuver. In this case we had already started the maneuver, therefore the driver had to take over. This isnt a software bug, its a known issue that is being worked on. Conditions: Non-inclement weather, dry roads, no other factors involved.",28
Localization module detected a localizer incident.,27
The planner was not able to generate a valid trajectory within a time cycle. The system asked the operator to take control of the vehicle.,27
Test driver prompted to resume control due to system error.,26
"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",26
"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",26
Invalid control unit operation.Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.   ,26
Incorrect prediction led to undesirable motion plan,25
Safety Driver disengaged autonomous mode due to inappropriate steering.,25
Safety Driver disengaged autonomous mode upon judging that vehicle was too close to other road user or obstacle.,25
"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.  Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",25
Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,24
Localization Takeover: Disengaged due to a temporary localization sub-system drop,24
Driver disengagement due to planning discrepancy in the determination of autonomous vehicle speed,23
Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate path planning ,23
Driver disengagement due to safety monitor notification of general system discrepancy,22
Motion planning unable to produce valid trajectory,21
"Safety Driver disengaged autonomous mode due to issue with exit/merge maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",21
"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary during an exit/merge manuever. Root cause: lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",20
Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,20
Test driver disengaged due to planning system choosing a trajectory that is too slow and conservative given traffic conditions.,20
"Safety Driver disengaged autonomous mode due to issue with cut in maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",19
Driver disengagement due to conditions exceeding ODD,18
"Weather(Sunny), Daylight: Software Crash of localization component - unknown root cause",16
"Weather(Sunny): Car double parked, outside of ODD",16
"Lane departure or oscillation in exit/merge lane. The test vehicle did not keep the exit/merge lane properly. Root cause: bad lane detection in exit/merge lane. Conditions: Non-inclement weather, dry roads, no other factors involved.",15
Driver disengagement due to safety monitor notification of planning discrepancy in the planning of lane change,15
"Safety Driver disengaged autonomous mode as a precaution for keeping distance from vehicle parked on side. Root cause: precaution. Conditions: Non-inclement weather, dry roads, no other factors involved.",15
Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate path planning,14
Disengage for a hardware discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a hardware component of the self-driving system or a component of the base vehicle,14
Driver precautionary disengagement due to aggressive cut-in by other vehicle,14
"Weather(Sunny): Traffic light stayed at red color when it was green, perception issue with front camera",14
Safety Driver disengaged autonomous mode due to inappropriate braking proposal.,13
Driver disengagement due to safety monitor notification of system load,13
Vehicle driver took over for safety. Precautious disengagement due to construction area,13
"Unintetded braking during lane change. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",13
The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle. A valid trajectory could not be generated.,13
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to improper yielding to a pedestrian near roadway during left turn.,13
Undesirable motion plan did not adequately follow driving etiquette,12
Vehicle driver took over for safety. Incorrect swerving for object due to inaccurate car detection,12
Driver disengagement due to planning discrepancy: failure to yield to merging vehicle,12
The system disengaged because of an error with the fusion component. The system asked the operator to take control of the vehicle.,12
Driver performed steering maneuver because the vehicle didnt drive on the expected path. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,12
"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",12
An issue with data recorder caused the system to disengage. The system asked the operator to take control of the vehicle.,11
"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by falsely percepted stop line issue.  Root cause: object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",11
Data that Vision received from the Driving State Module is too old.,11
"Daytime, clear weather, normal street traffic.  Vehicle drive-by-wire issue: the autonomy software asked for a driving action (steer or throttle/brake command) that the vehicle DBW system could not deliver.",11
Maps incident detected.,11
"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",11
"Daytime, clear weather, normal street traffic.  Perception issue: orange & white traffic cones sitting in the middle of the vehicle's travel lane were not detected by the software processing the sensor data stream.",11
"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",10
Late deceleration due to incorrect behaviour prediction of another traffic participant,10
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for improper yielding to a pedestrian near the roadway.,10
Safety Driver disengaged autonomous mode to re-center vehicle in lane.,10
"Weather(Sunny), Daylight: Ego-vehicle didn't take off at a stop when it was his turn",10
Driver disengagement due to planning discrepancy causing undesired braking,10
Precautionary disengagement by Safety Driver upon judging that vehicle was too close to road boundary,10
System software failure in the perception module while proceeding straight with low traffic on highway in cloudy weather.,9
Driver disengagement due to planning discrepancy: failure to execute lane change,9
"Safety Driver disengaged autonomous mode due to issue with the test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved.",9
"Weather(Sunny): Construction zone, outside of ODD",9
Prediction Discrepancy: Disengaged due to inconsistent actor vehicle predictions at an intersection while Autonomous Vehicle (AV) is turning right,9
Inaccurate lane-keeping due to incorrectly perceived element in the surrounding environment of the vehicle,8
Other road user behaving poorly; lane encroachment,8
Hardware diagnostic caused software kickout,8
Prediction Discrepancy: Disengaged due to inaccurate oncoming traffic predictions as the Autonomous Vehicle (AV) is turning left at an intersection,8
Test driver resumed control due to obstacle in path.,8
Traffic conditions: test driver decided to resume control to ensure comfortable distance from other road users.,8
Inaccurate lane-switching due to inaccurate path planning,8
Vehicle driver took over for safety. Inaccurate lane-switching due to inaccurate path planning ,8
"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",8
"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause ",8
Disengage for incorrect behavior prediction of other traffic participants,8
"Safety Driver disengaged autonomous mode due derbis on the road.  Root cause: precaution. Conditions: Non-inclement weather, dry roads, no other factors involved.",8
System planned inaccurate trajectory to overtake a static object that was partialy blocking the lane,7
Inaccurate lane-keeping due to object detection discrepancy,7
"Weather(Sunny): Car parked on our lane, outside of ODD",7
"Weather(Sunny), Daylight: Safety Takeover (Close to pedestrian)",7
"Weather(Rainy): Car parked on our lane, outside of ODD",7
Safety Driver disengaged because vehicle was mishandling a traffic light.,7
Vehicle driver took over for safety. Not stopping at red traffic light due to incorrect traffic light selection,7
The planner was not able to generate a valid trajectory. The system asked the operator to take control of the vehicle.,7
Vehicle driver took over for safety. Not stopping at intersection due to inaccurate traffic light detection,6
Planning behavior provider module timeout.,6
"Weather(Cloudy): Driver's decision to takeover because the front car was parked in the middle of the ego lane, outside of ODD",6
Planning Logic: Planner trajectory inadequately yields for oncoming vehicle,6
"Daytime, clear weather, normal street traffic.  Planning issue: The autonomy system was aware of another vehicle that was going to cross its planned travel path (eg at an intersection or unprotected left), but did not appropriately adjust to the path crossing.",6
Vehicle driver took over for safety. Inaccurate lane-switching due to inaccurate road lines perception,6
Planning Discrepancy: Disengaged due to insufficient lateral clearance to the curb while performing a lane change,6
Vehicle driver took over for safety. Not stopping for vehicle due to inaccurate path planning ,6
Hardware discrepancy or system fault; On city road in light traffic with clear sky during day,5
Planning Logic: Incorrect planner trajectory fails to adequately slow for lead vehicle,5
"Weather(Sunny): Controls disengaged at traffic light due to requesting deceleration above threshold, internal safety concept rules",5
"Daytime, clear weather, normal street traffic.  Perception issue: black & orange Road Work sign sitting in the middle of the vehicle's travel lane was not detected by the software processing the sensor data stream.",5
System software failure in the perception module while proceeding straight with medium traffic on highway in cloudy weather.,5
Driver disengagement due to planning discrepancy in yielding to vehicle cut-in,5
System software failure in the planning module while entering a cloverleaf ramp on the highway due to a policy disengagement zone in clear weather. ,5
An issue with localization component caused the system to disengage. The system asked the operator to take control of the vehicle.,5
Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate road perception,5
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for ego vehicle unexpectedly slowing down approaching crosswalk with tailing vehicle close behind.,5
"Weather(Sunny): Reckless driver didn't respect the order at stop intersection, driver's safety decision",5
Planning Discrepancy: Disengaged due to planning trajectory scoring issue leading to insufficient braking for actor vehicle in front of the Autonomous Vehicle (AV),5
"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",5
Safety Driver disengaged to re-center vehicle in lane.,5
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for a failure to yield at a required yield.,5
Motion plan exceeded speed limit,5
Precautionary takeover to address perception; lane keeping,5
Planning Logic: Incorrect planner trajectory fails to adequately yield to lead vehicle,4
Safety Driver disengaged near crosswalk due to overly conservative vehicle behavior.,4
Vehicle driver took over for safety. Not stopping for vehicle due to inaccurate decision making,4
Vehicle driver took over for safety. Incorrect swerving for object due to inaccurate object detection,4
Test driver decided to take over driving task to keep junction clear.,4
"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the curb. As a result, Driver safely disengaged and resumed manual control.",4
"Weather(Sunny): Precautionary disengagement in response to the autonomous vehicle merging into oncoming traffic, No unusual conditions were observed",4
"The AV wasn't yielding enough to a vehicle merging and allowing enough gap for a confortable merge. As a result, Driver safely disengaged and resumed manual control.",4
Planning Logic: Incorrect behavior leads to unwanted braking with cross traffic,4
Driver disengagement due to safety monitor notification of positioning discrepancy,4
"Daytime, clear weather, normal street traffic.  Perception issue: a car parked on the right edge of the vehicle's travel lane was not detected by the software processing the sensor data stream.",4
Safety Driver disengaged upon judging that vehicle was too close to road boundary.,4
Prediction Discrepancy: Disengaged due to inconsistent prediction trajectory for a bus merging in front of the Autonomous Vehicle (AV) vehicle,4
Vehicle driver took over for safety. Not stopping at intersection due to inaccurate road perception,4
Vehicle driver took over for safety. Not stopping at intersection due to inaccurate traffic sign detection,4
"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4
"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Root Cause: Test vehicle maintained the speed according to the speed limit. Our sensors picked up a vehicle that was merging into our lane, but the software (in the US) has not been programmed to increase/decrease speed when a vehicle is merging even though we have the right way. Conditions: Non-inclement weather, dry roads, no other factors involved",4
"Planning; as a precaution, the safety operator intervened to avoid being rear-ended by a vehicle after the ADV made a lane change.",4
"Attempting to lane change into a lane with stopped/slow traffic, and test vehicle was not slowing down enough. Root cause: limited control actuation, detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved.",4
Planning Reference Line Searcher module timeout.,4
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for ego vehicle failing to yield to oncoming traffic during left turn.,4
"The AV wasn't centered in the lane. As a result, the driver safely disengaged and resumed manual control.",4
Driver disengagement due to planning discrepancy: failure to execute mandatory lane change,4
"Weather(Sunny): Unprotected left turn too congested, driver's safety decision",4
"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",4
Vehicle driver took over for safety. Unplanned acceleration due to inaccurate path planning ,4
Driver disengagement due to perception discrepancy in the detection of  truck merging into ego vehicle,4
"Weather(Sunny): Late detection of pedestrian crossing at crosswalk, driver's safety decision",4
Front centre wide angle camera is blocked.,4
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle failed to initiate and complete a lane change in the allotted space.,4
Vehicle driver took over for safety. Not stopping at stop sign due to inaccurate path planning,4
Vehicle driver took over for safety. Incorrect car-follow behavior due to weak object detection,3
Vehicle driver took over for safety. Not stopping for pedestrian due to weak object detection,3
"Safety Driver disengaged due to inappropriate braking, caused by perception issue.",3
Object Perception: Incorrect perception of traffic light leads to inadequate yield to cross traffic,3
Vehicle driver took over for safety. Late deceleration for stop sign due to inaccurate path planning,3
Vehicle driver took over for safety. Not stopping at intersection due to inaccurate path planning ,3
Vehicle driver took over for safety. Late deceleration due to inaccurate path planning ,3
In vehicle operator decided to resume control to ensure vehicle maintain desired path.,3
Test driver disengaged due to planning system choosing a deceleration too aggressive given traffic conditions.,3
"Weather(Cloudy): System disengaged because braking too hard on a red traffic light that switched lately to red color (part of the safey concept, when pushing too hard the brake pedal, system gave back the control)",3
System software failure in the perception module while proceeding straight with low traffic on highway in clear weather.,3
Vehicle driver took over for safety. Not stopping for red traffic light due to inaccurate path planning,3
Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate decision making,3
"Traffic Light Software Module didn't detect traffic light and AV didn't go for green light. As a result, the driver safely disengaged and resumed manual control.",3
Vehicle driver took over for safety. Incorrect swerving for object due to inaccurate decision making,3
Vehicle driver took over for safety. Inaccurate lane-switching due to inaccurate road perception,3
"Weather(Sunny), Daylight: Safety Decision - Pedestrian on the road, on a defined crosswalk (Safety takeover)",3
Vehicle driver took over for safety. Not stopping at intersection due to inaccurate road lines perception,3
Vehicle driver took over for safety. Incorrect swerve for static object due to weak object detection,3
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to failure to yield to oncoming vehicle during unprotected left turn.,3
Driver disengagement due to positioning discrepancy resulting in undesired lateral movement in the lane,3
Safety Driver disengaged to proceed through green traffic signal.,3
Fusion Grid World module state error.,3
Recording module incident detected.,3
Perception Discrepancy: Disengaged due to inconsistent traffic light state detection,3
"Weather(Sunny), Daylight: Driver's safety decision to takeover because the front car was parked too close from us at the right of the ego lane",3
Safety Driver disengaged due to cut-in issue.,3
Fusion Dynamic World reported a Sensor Fusion relevant incident.,3
"System planned inaccurate trajectory to overtake another vehicle, due to inaccurate path planning",3
Undesirable motion plan violating traffic signal,3
"Vehicle driver took over for safety. Inaccurate lane-keeping, too close to oncoming car due to inaccurate path planning",3
"Planning; as a precaution, the safety operator intervened to avoid a vehicle that, without warning, cut into the ADV's traveling lane.",3
System software failure in the mapping module when detecting an incorrectly mapped traffic light at an intersection in clear weather. ,3
"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the edge of the lane marking. As a result, Driver safely disengaged and resumed manual control.",3
A system software failure in the planner module during lane change on surface street approaching an intersection in cloudy weather likely due to the curvature of the mapped lane. ,3
"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the the inner radius of a right hand turn. As a result, Driver safely disengaged and resumed manual control.",3
Vehicle driver took over for safety. Not stopping for stop sign due to inaccurate path planning,3
Planning Logic: Incorrect behavior leads to unwanted braking with tailgating agent,3
Safety Driver disengaged to reduce speed.,3
Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate road lines perception,2
"Weather(Sunny): Stocked at a stop intersection, disruption in the stop strategy due to an anomly in the distance to stop lane management, perception issue",2
"Weather(Cloudy): Driver's decision to takeover too pass a car trying to park in the middle of ego lane, outside of ODD",2
Reckless Agent/Road User; Prediction discrepancy; On city road in heavy traffic with clear sky during day,2
Vehicle driver took over for safety. Not entering intersection due to inaccurate decision making,2
"Weather(Sunny): Driver's safety decision to takeover because the front car was parked too close from us at the right of the ego lane, outside of ODD",2
Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate car detection,2
Vehicle driver took over for safety. Late deceleration due to inaccurate car detection,2
Vehicle driver took over for safety. Late acceleration  due to inaccurate decision making,2
Vehicle driver took over for safety. Not stopping for pedestrian due to inaccurate path planning ,2
"Weather(Cloudy): Driver's decision to takeover because side vehicle detected in ego lane, outside of ODD",2
"Weather(Sunny): Lateral control oversteered due to new curve speed limit software, finetuning required",2
"Weather(Cloudy): Driver's safety decision to takeover because the front car was parked too close from us at the right of the ego lane, outise of ODD",2
Weather(Cloudy): Ghost pedestrian detected at pedestrian crossing (it was a vertical sign in the middle of the pedestrian crossing),2
Vehicle driver took over for safety. Not stopping for vehicle due to inaccurate car detection,2
Vehicle driver took over for safety. Unplanned deceleration due to inaccurate path planning ,2
"Weather(Sunny): Camera loss, takeover to pull over and restart the camera, sensor failure",2
"Weather(Sunny): Driver disengaged due to a reckless driver tailgating us, driver's safety decision",2
Vehicle driver took over for safety. Late deceleration due to inaccurate road perception,2
Planning Logic: Planner trajectory inadequately yields for right-of-way-violating agent,2
Vehicle driver took over for safety. Inaccurate lane-keeping due to innacurate road perception ,2
"Weather(Rainy): Traffic light stayed at red color when it was green, perception issue",2
"Weather(Sunny): Stop intersection, control disengagment due to brake pedal miscalibration",2
Driver disengagement due to positioning  discrepancy resulting in undesired lateral movement in the lane,2
Driver precautionary disengagement due to planning discrepancy to maintain minimum follow distance,2
"Weather(Sunny): Oncoming vehicle driving on wrong side of the road, driver's safery decision",2
Incorrect prediction of parked vehicle caused undesirable motion plan,2
Test driver precautionary disengaged for an agressive cut-in truck.,2
Safety driver discomfort due to selected motion plan,2
"System sofware failure in the planner module at a specific surface street location, with stopped traffic ahead, related to a mapping issue. The weather was clear.",2
"System software failure in the planner module while proceeding straight with surrounding traffic on highway, in clear weather.",2
Precautionary takeover to address prediction; yielding to stopped vehicle,2
Precautionary takeover to address planning; yielding to cross traffic,2
Vehicle driver took over for safety. Late deceleration at stop sign due to inaccurate path planning,2
Vehicle driver took over for safety. Incorrect swerve for parked vehicle due to weak object detection,2
Test driver disengaged due to perception desrepancy in detection of a red traffic light.,2
Disengage for a perception discrepancy for which a component of the vehicles perception system failed to detect an object correctly,2
Test driver disengaged due to perception desrepancy in detection of stopped traffic in front.,2
An issue with motion control system caused the system to disengage. The system asked the operator to take control of the vehicle.,2
Camera vision impeded by sun. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,2
An issue with perception component caused the system to disengage. The system asked the operator to take control of the vehicle.,2
"The AV didn't detect the obstacle in front of it. As a result, the driver safely disengaged and resumed manual control.",2
"Speed control Software module generated a wrong speed control command. As a result, the driver safely disengaged and resumed manual control.",2
"The AV attempted to go around a vehicle stopped at a Red light. As a result, the driver safely disengaged and resumend manual control.",2
"Traffic Light Software Module stopped detecting traffic light and AV started go on a red light. As a result, the driver safely disengaged and resumed manual control.",2
Planning Logic: Incorrect behavior prediction for offroad pedestrian results in unwanted braking,2
