Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,
AIMOTIVE INC.,AVT036,2021.04.16.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.19.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.19.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.19.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.19.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuvre a truck on the right lane wanted to make lane change into our lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.19.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.19.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change did not happen in time in an exit/merge situation - therefore disengaged
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.19.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.21.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.21.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.26.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.27.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.27.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.27.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.28.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.06.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.06.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.06.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.07. ,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.07. ,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.10.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.12.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.12.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.12.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.12.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.18.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.19.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,"	2021.05.20.",JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.05.24.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.02.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,"	2021.06.03. ",JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,"	2021.06.03. ",JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,"	2021.06.03. ",JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.04.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.08.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.11.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.11.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.23. ,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.24.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.25.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.25.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.25.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.28.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,"	2021.06.29.",JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.06.30.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.07.01.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.07.06.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.10.13,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.10.15,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.10.15,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.10.18,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.10.18,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.10.18,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.10.18,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.16,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.16,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.17,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.17,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.18,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.18,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.18,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.18,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.19,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.19,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.19,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.19,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.22,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.22,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.22,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.22,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.23,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.23,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.23,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.23,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.23,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.23,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.24,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.24,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.24,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.24,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.24,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.24,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.29,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.29,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.30,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.30,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.30,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.11.30,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.12.06,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.12.06,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.12.06,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.12.06,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.12.06,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.12.07,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.12.08,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.12.08,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,6/15/2021,3LN6L5LU2HR615153,Yes,Yes,Test Driver,Street,Ego drifting towards curb due to degrading localization,
APPLE INC.,AVT030,12/2/2020,2T2BGMCAXGC006416,No,Yes,Test Driver,Street,Map discrepancy led to undesirable motion plan,
APPLE INC.,AVT030,12/7/2020,2T2BGMCA0HC019967,No,Yes,AV System,Street,Motion control health check caused software kickout,
APPLE INC.,AVT030,12/15/2020,2T2BGMCAXGC006416,No,Yes,AV System,Street,Motion control health check caused software kickout,
APPLE INC.,AVT030,12/15/2020,2T2BGMCAXGC006416,No,Yes,AV System,Street,Motion control health check caused software kickout,
APPLE INC.,AVT030,12/15/2020,2T2BGMCA5HC019818,No,Yes,Test Driver,Street,Map discrepancy led to undesirable motion plan,
APPLE INC.,AVT030,12/21/2020,2T2BGMCAXGC006416,No,Yes,AV System,Street,Motion control health check caused software kickout,
APPLE INC.,AVT030,12/22/2020,2T2BGMCAXGC006416,No,Yes,Test Driver,Street,Incorrect perception of traffic signal led to undesirable motion plan,
APPLE INC.,AVT030,1/7/2021,2T2BGMCA0HC019967,No,Yes,Test Driver,Street,Incorrect prediction of vehicle caused undesirable motion plan,
APPLE INC.,AVT030,1/8/2021,2T2BGMCA6GC007983,No,Yes,AV System,Street,Motion control health check caused software kickout,
APPLE INC.,AVT030,1/8/2021,2T2BGMCA6GC007983,No,Yes,AV System,Street,Motion control health check caused software kickout,
APPLE INC.,AVT030,2/19/2021,2T2BGMCA7HC017262,No,Yes,Test Driver,Street,Map discrepancy led to undesirable motion plan,
APPLE INC.,AVT030,2/19/2021,2T2BGMCA2HC020151,No,Yes,Test Driver,Street,Motion planning unable to produce valid trajectory,
APPLE INC.,AVT030,2/19/2021,2T2BGMCA0HC019967,No,Yes,Test Driver,Street,Incorrect perception of traffic signal led to undesirable motion plan,
APPLE INC.,AVT030,2/22/2021,2T2BGMCA0HC019967,No,Yes,Test Driver,Street,Incorrect perception of traffic signal led to undesirable motion plan,
APPLE INC.,AVT030,2/23/2021,2T2BGMCA0HC019967,No,Yes,Test Driver,Highway,Map discrepancy led to undesirable motion plan,
